# Source ADC	Temp 100.0 mK	PDUT -80.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1944	PSG 4.5	PRF -4.0
# AttVDUT 12006210005 30.5 dB	AttVIQ 12201130093 26.75 dB
# LOAtt 4.5 dB	InAtt 12.0 dB	OutAtt 7.1 dB
# LNA 30.0 dB	RTA 80.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 10.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
1.9402000e+09	1.5286201e-01	-6.9169638e-01
1.9402006e+09	1.5320797e-01	-6.9175207e-01
1.9402012e+09	1.5272418e-01	-6.9180029e-01
1.9402018e+09	1.5230558e-01	-6.9194249e-01
1.9402024e+09	1.5221425e-01	-6.9197889e-01
1.9402030e+09	1.5213799e-01	-6.9206829e-01
1.9402036e+09	1.5207045e-01	-6.9206863e-01
1.9402042e+09	1.5197984e-01	-6.9217232e-01
1.9402048e+09	1.5148071e-01	-6.9224523e-01
1.9402054e+09	1.5125362e-01	-6.9233188e-01
1.9402060e+09	1.5100159e-01	-6.9240519e-01
1.9402066e+09	1.5060413e-01	-6.9235061e-01
1.9402072e+09	1.5036961e-01	-6.9251330e-01
1.9402078e+09	1.5019673e-01	-6.9240454e-01
1.9402084e+09	1.4986398e-01	-6.9239098e-01
1.9402090e+09	1.4982835e-01	-6.9250929e-01
1.9402096e+09	1.4973542e-01	-6.9264321e-01
1.9402102e+09	1.4909136e-01	-6.9265354e-01
1.9402108e+09	1.4898709e-01	-6.9249390e-01
1.9402114e+09	1.4900205e-01	-6.9271943e-01
1.9402120e+09	1.4848217e-01	-6.9283118e-01
1.9402126e+09	1.4814145e-01	-6.9267169e-01
1.9402132e+09	1.4800134e-01	-6.9280444e-01
1.9402138e+09	1.4786611e-01	-6.9296421e-01
1.9402144e+09	1.4756569e-01	-6.9291324e-01
1.9402150e+09	1.4735607e-01	-6.9295519e-01
1.9402156e+09	1.4695235e-01	-6.9270091e-01
1.9402162e+09	1.4691351e-01	-6.9294978e-01
1.9402168e+09	1.4676230e-01	-6.9314451e-01
1.9402174e+09	1.4648283e-01	-6.9317011e-01
1.9402180e+09	1.4608690e-01	-6.9325895e-01
1.9402186e+09	1.4584071e-01	-6.9321677e-01
1.9402192e+09	1.4576159e-01	-6.9322879e-01
1.9402198e+09	1.4519813e-01	-6.9320374e-01
1.9402204e+09	1.4472671e-01	-6.9322340e-01
1.9402210e+09	1.4483999e-01	-6.9321923e-01
1.9402216e+09	1.4452985e-01	-6.9352049e-01
1.9402222e+09	1.4389945e-01	-6.9336185e-01
1.9402228e+09	1.4417817e-01	-6.9347880e-01
1.9402234e+09	1.4403747e-01	-6.9360910e-01
1.9402240e+09	1.4381673e-01	-6.9360626e-01
1.9402246e+09	1.4364124e-01	-6.9353007e-01
1.9402252e+09	1.4305850e-01	-6.9344099e-01
1.9402258e+09	1.4277635e-01	-6.9364571e-01
1.9402264e+09	1.4224019e-01	-6.9367339e-01
1.9402270e+09	1.4257449e-01	-6.9356517e-01
1.9402276e+09	1.4213391e-01	-6.9365968e-01
1.9402282e+09	1.4189651e-01	-6.9373191e-01
1.9402288e+09	1.4152626e-01	-6.9380907e-01
1.9402294e+09	1.4128215e-01	-6.9371056e-01
1.9402300e+09	1.4143111e-01	-6.9386806e-01
1.9402306e+09	1.4093174e-01	-6.9388956e-01
1.9402312e+09	1.4022844e-01	-6.9398169e-01
1.9402318e+09	1.4053573e-01	-6.9416952e-01
1.9402324e+09	1.4008941e-01	-6.9390222e-01
1.9402330e+09	1.3965933e-01	-6.9393559e-01
1.9402336e+09	1.3947626e-01	-6.9417273e-01
1.9402342e+09	1.3943032e-01	-6.9418290e-01
1.9402348e+09	1.3892105e-01	-6.9424579e-01
1.9402354e+09	1.3894857e-01	-6.9413220e-01
1.9402360e+09	1.3853781e-01	-6.9416410e-01
1.9402366e+09	1.3803120e-01	-6.9424945e-01
1.9402372e+09	1.3789914e-01	-6.9404352e-01
1.9402378e+09	1.3765070e-01	-6.9435343e-01
1.9402384e+09	1.3788197e-01	-6.9424078e-01
1.9402390e+09	1.3723411e-01	-6.9452822e-01
1.9402396e+09	1.3701687e-01	-6.9435604e-01
1.9402402e+09	1.3690476e-01	-6.9434109e-01
1.9402408e+09	1.3649219e-01	-6.9433308e-01
1.9402414e+09	1.3633091e-01	-6.9447289e-01
1.9402420e+09	1.3606837e-01	-6.9446409e-01
1.9402426e+09	1.3586850e-01	-6.9476341e-01
1.9402432e+09	1.3531995e-01	-6.9462215e-01
1.9402438e+09	1.3510364e-01	-6.9459567e-01
1.9402444e+09	1.3502261e-01	-6.9456526e-01
1.9402450e+09	1.3482487e-01	-6.9480586e-01
1.9402456e+09	1.3451234e-01	-6.9475943e-01
1.9402462e+09	1.3416208e-01	-6.9458818e-01
1.9402468e+09	1.3364280e-01	-6.9476507e-01
1.9402474e+09	1.3412713e-01	-6.9511996e-01
1.9402480e+09	1.3335123e-01	-6.9489810e-01
1.9402486e+09	1.3301829e-01	-6.9482492e-01
1.9402492e+09	1.3292039e-01	-6.9491376e-01
1.9402498e+09	1.3268380e-01	-6.9496224e-01
1.9402504e+09	1.3249680e-01	-6.9502250e-01
1.9402510e+09	1.3250150e-01	-6.9502736e-01
1.9402516e+09	1.3209652e-01	-6.9519933e-01
1.9402522e+09	1.3171736e-01	-6.9496021e-01
1.9402528e+09	1.3133874e-01	-6.9509087e-01
1.9402534e+09	1.3140042e-01	-6.9510634e-01
1.9402540e+09	1.3083934e-01	-6.9524809e-01
1.9402546e+09	1.3065985e-01	-6.9540007e-01
1.9402552e+09	1.3060812e-01	-6.9522295e-01
1.9402558e+09	1.3041323e-01	-6.9537843e-01
1.9402564e+09	1.3025570e-01	-6.9525173e-01
1.9402570e+09	1.2999525e-01	-6.9552788e-01
1.9402576e+09	1.2982573e-01	-6.9537174e-01
1.9402582e+09	1.2963462e-01	-6.9547309e-01
1.9402588e+09	1.2939393e-01	-6.9542023e-01
1.9402594e+09	1.2882958e-01	-6.9569874e-01
1.9402600e+09	1.2860093e-01	-6.9563031e-01
1.9402606e+09	1.2826036e-01	-6.9536091e-01
1.9402612e+09	1.2827694e-01	-6.9557411e-01
1.9402618e+09	1.2819211e-01	-6.9553318e-01
1.9402624e+09	1.2767233e-01	-6.9552588e-01
1.9402630e+09	1.2755241e-01	-6.9557555e-01
1.9402636e+09	1.2698671e-01	-6.9565645e-01
1.9402642e+09	1.2686315e-01	-6.9556272e-01
1.9402648e+09	1.2659932e-01	-6.9558035e-01
1.9402654e+09	1.2606095e-01	-6.9571804e-01
1.9402660e+09	1.2610487e-01	-6.9593183e-01
