# Source VNA	Temp 100.0 mK	PDUT -83.0 dBm
# BW 1000 Hz	Points 20001
# LER1942
# PVNA -40 dB	RTAtt -1.0 dB	OutAtt -42 dB
# LNA 35 dB	RTA None dB
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# BBCON not used
#
        Freq(Hz)	          I(S21)	          Q(S21)
1.940200000e+09	-1.612207814e-03	2.526305102e-01
1.940200150e+09	-2.585041923e-03	2.522488166e-01
1.940200300e+09	-2.285930288e-03	2.504109096e-01
1.940200450e+09	-2.399379893e-03	2.530811875e-01
1.940200600e+09	-1.993733822e-03	2.513002108e-01
1.940200750e+09	-2.627135535e-03	2.527294045e-01
1.940200900e+09	-2.242769282e-03	2.519236004e-01
1.940201050e+09	-8.479050577e-04	2.538287201e-01
1.940201200e+09	-1.836256164e-03	2.514231481e-01
1.940201350e+09	-2.561546729e-03	2.515440529e-01
1.940201500e+09	-2.359866087e-03	2.519882989e-01
1.940201650e+09	-2.259662082e-03	2.534510737e-01
1.940201800e+09	-1.747410500e-03	2.524188568e-01
1.940201950e+09	-1.927377794e-03	2.525945732e-01
1.940202100e+09	-1.122457109e-03	2.512758931e-01
1.940202250e+09	-2.523171976e-03	2.529750673e-01
1.940202400e+09	-2.621567258e-03	2.517841047e-01
1.940202550e+09	-2.713592706e-03	2.523682964e-01
1.940202700e+09	-1.277391064e-03	2.530910970e-01
1.940202850e+09	-1.683408496e-03	2.531046117e-01
1.940203000e+09	-1.715490232e-03	2.522501797e-01
1.940203150e+09	-1.383557607e-03	2.534245626e-01
1.940203300e+09	-3.837732344e-03	2.525485583e-01
1.940203450e+09	-6.154637493e-04	2.513071115e-01
1.940203600e+09	-2.745231501e-03	2.515497123e-01
1.940203750e+09	-8.616326817e-04	2.515672449e-01
1.940203900e+09	-2.294003360e-04	2.525069580e-01
1.940204050e+09	-2.675756526e-03	2.529403295e-01
1.940204200e+09	-1.935445329e-03	2.520771006e-01
1.940204350e+09	-2.290135059e-03	2.528321980e-01
1.940204500e+09	-8.116717654e-04	2.527667059e-01
1.940204650e+09	-2.170141043e-03	2.534491183e-01
1.940204800e+09	-1.781774124e-03	2.525975324e-01
1.940204950e+09	-2.491314739e-03	2.529209495e-01
1.940205100e+09	-2.627962643e-03	2.501519940e-01
1.940205250e+09	-2.332126503e-03	2.540113210e-01
1.940205400e+09	-2.649371032e-03	2.508166509e-01
1.940205550e+09	-2.109474403e-03	2.520986874e-01
1.940205700e+09	-1.506391951e-03	2.524168691e-01
1.940205850e+09	-1.313612517e-03	2.524354735e-01
1.940206000e+09	-1.111175008e-03	2.523239317e-01
1.940206150e+09	-2.774153441e-03	2.523558110e-01
1.940206300e+09	-1.509413505e-03	2.533002241e-01
1.940206450e+09	-1.100287952e-03	2.512238881e-01
